metric,method,scale,n_industries,year,annual_within,annual_shift,annual_interaction,annual_total,cumulative_within,cumulative_shift,cumulative_interaction,cumulative_total,cumulative_within_bootstrap_estimate_mean,cumulative_within_bootstrap_ci_lower,cumulative_within_bootstrap_ci_upper,cumulative_within_bootstrap_p_value_two_sided,cumulative_shift_bootstrap_estimate_mean,cumulative_shift_bootstrap_ci_lower,cumulative_shift_bootstrap_ci_upper,cumulative_shift_bootstrap_p_value_two_sided,cumulative_interaction_bootstrap_estimate_mean,cumulative_interaction_bootstrap_ci_lower,cumulative_interaction_bootstrap_ci_upper,cumulative_interaction_bootstrap_p_value_two_sided,cumulative_total_bootstrap_estimate_mean,cumulative_total_bootstrap_ci_lower,cumulative_total_bootstrap_ci_upper,cumulative_total_bootstrap_p_value_two_sided,valid_replications,seed,block_length,total_ci_width_exceeds_abs_cumulative_change
real_regular_monthly,paasche,2024_twd,16,2005,-630.2195356215,-40.2037819957,4.1417293917,-666.2815882255,491.2349840725,-133.2532256878,5.0575130879,363.0392714726,533.6510941370,-2012.8547615355,2625.3815605390,0.6752000000,4.2710552577,-295.8376641947,294.5831287863,0.9806000000,3.7407788065,-26.9335169778,39.6130040378,0.8588000000,541.6629282012,-2055.2699230068,2823.0385353031,0.6950000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2006,255.5538479711,-102.5471554060,11.3651301785,164.3718227436,746.7888320436,-235.8003810938,16.4226432664,527.4110942162,641.0277784773,-2082.4020379745,3027.6094460588,0.6736000000,1.9923040874,-350.0979079733,338.8163832766,0.9934000000,4.6070654491,-27.4079488823,40.9998715611,0.8538000000,647.6271480139,-2103.2171374554,3324.9052055675,0.6792000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2007,3.6769985769,-66.4255879617,2.2495103202,-60.4990790645,750.4658306205,-302.2259690555,18.6721535867,466.9120151517,750.5957915947,-2151.4608398970,3369.6740224486,0.6184000000,-0.4601676079,-376.2751656658,353.8417055265,0.9958000000,5.4549636389,-33.4750575734,47.1339249825,0.8240000000,755.5905876256,-2206.4967098130,3612.0551824105,0.6436000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2008,-1423.3770646918,-30.7672907671,-4.3514833903,-1458.4958388493,-672.9112340713,-332.9932598226,14.3206701964,-991.5838236975,857.5322513244,-2293.9670280997,3770.2258118606,0.5844000000,-6.5645384772,-422.3885410999,385.3454784664,0.9802000000,6.4059332509,-34.7402596592,51.3043643790,0.7994000000,857.3736460982,-2416.8775066155,4015.8843059078,0.6214000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2009,-401.9983222823,80.4315076446,-21.6408320522,-343.2076466899,-1074.9095563536,-252.5617521780,-7.3201618558,-1334.7914703874,963.4722016491,-2387.2174403759,4169.9313556855,0.5852000000,-13.9991246864,-485.3316446030,418.3629336327,0.9648000000,7.3755441626,-39.2333627491,53.8656319727,0.7820000000,956.8486211253,-2506.8759842079,4405.5430247637,0.6108000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2010,419.2674715528,-102.4583410595,3.1025325273,319.9116630207,-655.6420848008,-355.0200932375,-4.2176293285,-1014.8798073668,1065.1732756244,-2480.5118330369,4401.3971242053,0.5568000000,-21.3726987630,-523.2983268558,432.0508132832,0.9456000000,8.4273616687,-40.9721628034,58.5790799429,0.7552000000,1052.2279385302,-2651.0588055055,4660.2468965142,0.5852000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2011,33.5318990376,-46.6090359324,-0.5527290988,-13.6298659936,-622.1101857632,-401.6291291699,-4.7703584273,-1028.5096733604,1172.0034274919,-2628.8170851920,4764.3428945422,0.5356000000,-30.8931029798,-567.7212702436,454.9928689472,0.9260000000,9.4915507241,-42.6982195213,63.3088103130,0.7362000000,1150.6018752362,-2782.6324917614,5030.4771904612,0.5694000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2012,-257.9790641014,-39.5821750555,-2.6251224683,-300.1863616253,-880.0892498647,-441.2113042254,-7.3954808956,-1328.6960349857,1274.9613396398,-2641.5142026291,5105.9312180657,0.5240000000,-43.3346074155,-633.7757696804,474.3345095006,0.9026000000,10.7436110855,-44.2913948140,67.3457244019,0.7216000000,1242.3703433099,-2853.3728941198,5378.8934456485,0.5654000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2013,92.5600219909,-21.5391145728,-0.9813973636,70.0395100545,-787.5292278738,-462.7504187982,-8.3768782592,-1258.6565249312,1375.7460554663,-2652.5965369677,5405.8002706836,0.5156000000,-54.3132757146,-688.4801041065,486.9298577622,0.8974000000,11.8685034504,-45.3845975017,72.2679567284,0.7134000000,1333.3012832021,-2862.9053810836,5705.2114401698,0.5566000000,10000,20260809,3,True
real_regular_monthly,paasche,2024_twd,16,2014,282.8633722408,-51.7811638598,1.1130065031,232.1952148842,-504.6658556330,-514.5315826581,-7.2638717561,-1026.4613100471,1484.6987104774,-2762.0927929811,5707.5414264003,0.4988000000,-68.9829343696,-766.2308305553,508.7388354300,0.8752000000,13.3558075768,-47.3000282080,77.3406360197,0.6898000000,1429.0715836846,-3033.6829971364,5996.2469188681,0.5468000000,10000,20260809,3,True
